,SF ID,Dealer ID,Account Creation Date,Account Name,Mailing State,No. of Employees,Residential HVAC Sales Per Year,Years in Business,HVAC Brand #1,HVAC Brand #2,CEL MKT,Currently offers Consumer Financing?,# of Apps 2017,# of Apps 2018,# of Apps 2019,NumofQuotes,NumofQuotes_Approved,NumofQuotes_Declined,NumofQuotes_Funded,Approve_Rate,Decline_Rate,Fund_Rate,Latency_days,quoteCreditScore
23,001U000001cC2bb,C15331,2016-01-08,JP Mechanical,TX,3,"0-99,999",-,Ruud,Trane,-,No,0,3,0,9.0,2.0,5.0,2.0,0.2222222222222222,0.5555555555555556,0.2222222222222222,391.37700383873454,629.5555555555555
24,001U000001cC2cZ,C15332,2016-01-08,Leonard HVAC,NJ,2,"100,000-499,999",-,Goodman,Fujitsu,-,No,1,1,0,2.0,1.0,1.0,0.0,0.5,0.5,0.0,754.6186691550926,699.5
25,001U000001cDTJZ,A09439,2016-01-11,AMT Comfort Air HVAC LLC,MA,3,"100,000-499,999",-,Goodman,Carrier,-,No,1,3,0,8.0,1.0,3.0,4.0,0.125,0.375,0.5,424.16508635416665,668.0
26,001U000001cDW1M,C15333,2016-01-11,Curtis Heating & Cooling,TN,1,"100,000-499,999",-,Westinghouse,Luxaire,-,No,0,0,0,,,,,,,,,
27,001U000001cDW2F,C15334,2016-01-11,Michael's Contracting & Service LLC,AL,2,"100,000-499,999",40,Trane,Rheem,-,Yes,0,0,0,,,,,,,,,
28,001U000001cDW3X,C15335,2016-01-11,Comfort Pro LLC,NC,2,"100,000-499,999",-,Rheem,Trane,-,No,0,0,0,,,,,,,,,
29,001U000001cDW4f,C15336,2016-01-11,"Smith Mechanical, LLC",TN,3,"0-99,999",-,Goodman,Ducane,-,No,1,2,0,7.0,0.0,5.0,2.0,0.0,0.7142857142857143,0.2857142857142857,431.96230063822753,615.7142857142857
30,001U000001cDWAV,C15337,2016-01-11,Blue Ribbon Services,NJ,8,"100,000-499,999",-,Carrier,Trane,-,No,1,0,0,3.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,307.89461141975306,726.6666666666666
31,001U000001cDusz,A03757,2016-01-12,Nealy Thompson Group Heating and Air,TN,2,"100,000-499,999",-,MAYTAG,-,-,Yes,0,0,0,,,,,,,,,
32,001U000001cDvGi,A09079,2016-01-12,I J Technical,PA,12,"100,000-499,999",-,Goodman,Maytag,-,Yes,9,4,0,17.0,4.0,7.0,6.0,0.23529411764705882,0.4117647058823529,0.35294117647058826,551.1244569546569,700.6470588235294
33,001U000001cDvNM,A09150,2016-01-12,"Comfort Specialist Heating And Air, Inc.",TN,1,"100,000-499,999",-,MAYTAG,-,-,No,8,6,0,16.0,0.0,10.0,6.0,0.0,0.625,0.375,628.9704664670138,580.25
34,001U000001cDvQG,A09152,2016-01-12,R. J. Walters Htg & Clg,MI,1,-,-,MAYTAG,-,-,-,0,0,0,,,,,,,,,
35,001U000001cDvs6,A09294,2016-01-12,Village Heating & Cooling LLC,WI,2,-,-,BROAN,-,-,-,0,0,0,,,,,,,,,
36,001U000001cDvvt,A09299,2016-01-12,A-1 Alabama Heating & Cooling,AL,2,-,-,BROAN,-,-,-,0,0,0,,,,,,,,,
37,001U000001cDvTy,A09356,2016-01-12,Custom Climate,IL,3,-,-,MAYTAG,-,-,-,0,0,0,,,,,,,,,
38,001U000001cDw4T,A09368,2016-01-12,Priority 1 HVAC Facility Maintenance,FL,15,"500,000-999,999",6,BROAN,Carrier,-,No,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,120.50825559027778,675.0
39,001U000001cDvXq,A09409,2016-01-12,Deleo Mechanical Services,MA,4,-,-,MAYTAG,-,-,-,0,0,0,,,,,,,,,
